year,as_of,rank,ticker,name,sector,avg_dollar_volume_usd_mn
2013,2013-01-01,23,GS,Goldman Sachs Group,Financials,432.3
2013,2013-01-01,24,PFE,Pfizer Inc.,Health Care,427.1
2013,2013-01-01,25,EBAY,eBay Inc.,Information Technology,419.6
2013,2013-01-01,26,CVX,Chevron Corp.,Energy,387.4
2013,2013-01-01,27,MCD,McDonald's Corp.,Consumer Discretionary,374.4
2013,2013-01-01,28,V,Visa Inc.,Information Technology,370.4
2013,2013-01-01,29,SLB,Schlumberger Ltd.,Energy,365.3
2013,2013-01-01,30,HD,Home Depot,Consumer Discretionary,362.0
2013,2013-01-01,31,KO,Coca Cola Co.,Consumer Staples,361.2
2013,2013-01-01,32,HAL,Halliburton Co.,Energy,361.0
2013,2013-01-01,33,DIS,Walt Disney Co.,Consumer Discretionary,356.7
2013,2013-01-01,34,BRK-B,Berkshire Hathaway,Financials,353.5
2013,2013-01-01,35,MRK,Merck & Co.,Health Care,347.7
2013,2013-01-01,36,T,AT&T Inc,Telecommunications Services,337.5
2013,2013-01-01,37,MA,Mastercard Inc.,Information Technology,331.3
2013,2013-01-01,38,ABT,Abbott Laboratories,Health Care,328.9
2013,2013-01-01,39,CRM,Salesforce.com,Information Technology,323.2
2013,2013-01-01,40,COP,ConocoPhillips,Energy,320.0
2013,2013-01-01,41,LOW,Lowe's Cos.,Consumer Discretionary,314.3
2013,2013-01-01,42,SBUX,Starbucks Corp.,Consumer Discretionary,303.9
2013,2013-01-01,43,CMCSA,Comcast Corp.,Consumer Discretionary,297.4
2013,2013-01-01,44,GILD,Gilead Sciences,Health Care,284.7
2013,2013-01-01,45,VZ,Verizon Communications,Telecommunications Services,283.9
2013,2013-01-01,46,MS,Morgan Stanley,Financials,282.0
2013,2013-01-01,47,UNH,United Health Group Inc.,Health Care,277.4
2013,2013-01-01,48,HPQ,Hewlett-Packard,Information Technology,276.9
2013,2013-01-01,49,PEP,PepsiCo Inc.,Consumer Staples,276.0
